# Official Shiguang API course adapters; metadata may come from HTML.
# source: https://github.com/ShiGuangSchedule/shiguang_warehouse/tree/fa7cbc2ea116e5ffd082a9fe8cb7bdf4407a8713
# schoolId	schoolName	folder	initial	adapterId	adapterName	category	assetJsPath	importUrl	maintainer	description	sha256
AEPU	安徽电气工程职业技术学院	AEPU	A	AEPU_01	安徽电气工程职业技术学院教务系统	BACHELOR_AND_ASSOCIATE	aepu.js	https://zt.aepu.com.cn/http/webvpnae4cfe98f83bc8811cc5963452fd80627ab088b1bddf3f753580a56a75a714e9/ywtb-portal/official/index.html#/hall	Haooz	安徽电气工程职业技术学院教务系统课表导入，请先登录并进入“我的课表”页面，再点击导入！	8d450f259a27048a71af7050fcc02c04c556b3b753b4f420b9eb3e3c7a088b54
AUFE	安徽财经大学	AUFE	A	AUFE_01	安徽财经大学校内入口	BACHELOR_AND_ASSOCIATE	aufe_01.js	http://all.aufe.edu.cn	星河欲转	安徽财经大学urp教务适配，进入教务系统后点击开始导入，非本校开发者适配如果有误建议提交issues	2940cb823d0f4688f4fff755a3bc2590b48582296ac487bfaa4257655af69322
AUFE	安徽财经大学	AUFE	A	AUFE_02	安徽财经大学Webvpn入口	BACHELOR_AND_ASSOCIATE	aufe_01.js	http://vpn.aufe.edu.cn	星河欲转	安徽财经大学urp教务适配，进入教务系统后点击开始导入，非本校开发者适配如果有误建议提交issues	2940cb823d0f4688f4fff755a3bc2590b48582296ac487bfaa4257655af69322
BBGU	北部湾大学	BBGU	B	BBGU_01	北部湾大学教务系统	BACHELOR_AND_ASSOCIATE	bbgu.js	https://zhjw.bbgu.edu.cn/workspace/home	Haooz	北部湾大学智慧教务系统课表导入，登录统一身份认证平台后直接点击导入即可	955c6770b49ec68a36ea0372ee646777c2cc14ee06ed10284aeba08c4afd6248
CZIMT	常州机电职业技术学院	CZIMT	C	CZIMT_01	常州机电职业技术学院-正方教务	BACHELOR_AND_ASSOCIATE	czimt.js	https://webapp.czimt.edu.cn	ShallowY	常州机电职业技术学院教务系统适配，采用新版Webapp(校内通)入口，统一身份认证后进入教务系统执行导入。	8cd3f5e8511610e4697371443793d97dd4547cfba7be6f1b66266d4db010b85e
CDUTCM	成都中医药大学	CDUTCM	C	CDUTCM_01	成都中医药大学教务	BACHELOR_AND_ASSOCIATE	cdutcm_01.js	https://jwweb.cdutcm.edu.cn/	wwwhyDB	登录教务系统后一键导入完整课表，自动附带上课时间。 支持单双周、多教师多地点等课程；导入时会询问学期开始日期。 	7a621f4b9bcce48242df621e003d578f234a14681308c7d64903664215aeeb40
CUIT	成都信息工程大学	CUIT	C	CUIT_01	成都信息工程大学本科实践教学平台	BACHELOR_AND_ASSOCIATE	cuit_bk_new.js	https://ywtb.cuit.edu.cn/	igugyj(Pfolg)	登录（外网用户把二维码发到另一台设备），进入「本科实践教学（管理）平台」进行导入	09790e71a8cf1b6da8cb972cf6eba2dfc00c529280f55a8e1d9eb6f8f6fa460d
CMC	成都医学院	CMC	C	CMC_01	成都医学院教务	BACHELOR_AND_ASSOCIATE	cmc_01.js	https://jwweb.cmc.edu.cn/	linlinli000	成都医学院乘方教务适配，请先登录教务系统后再执行导入	fbf65690d12b6e2815acbea431637341d93338d8f082330561d03554c62ddcb7
CAPU	成都航空职业技术大学	CAPU	C	CAPU	成都航空职业技术大学金智新教务	BACHELOR_AND_ASSOCIATE	capadap.js	https://jwxt.cap.edu.cn/jwapp/sys/homeapp/home/index.html?av=&contextPath=/jwapp#/	Xuan-Xuann	更新:您登录后直接点击导入即可食用,无需进入课表界面。有任何问题请通过GitHub/QQ联系开发者。	a89b7c82b2dbb6f7e336df1fc1db7782106baba7c9684d030ddc055f73dfd175
YXHMC	成都银杏酒店管理学院	YXHMC	C	YXHMC	成都银杏酒店管理学院教务	BACHELOR_AND_ASSOCIATE	yxhmc.js	http://zfjw.gingkoc.edu.cn/xtgl/login_slogin.html	Xuan-Xuann	适配成都银杏酒店管理学院智慧教务系统。使用须知：请先登录再进入个人课表查询界面，然后按照流程即可导入当前课表。请注意！暂不适配调课补课，请及时关注教务系统按时修改	3c9b7b9d1a03a6c2fd47cc07bbdd34b4046f876b9cb00158ce7bd07af5007d86
